duid,tech_label,yyyymm,gas_gj,diesel_gj,fuel_type,incr_hr,static_hr,vom_mwh,srmc_marginal,srmc_allin
PPCCGT,CCGT (Pelican Pt),202303,12.59,42.1052631578947,gas,7.35,7.35,4.1,96.6365,96.6365
OSB-AG,Cogen (Osborne),202303,12.59,42.1052631578947,gas,8.16,8.16,4.1,106.8344,106.8344
MINTARO,OCGT (Mintaro),202303,12.59,42.1052631578947,gas,10,12.72,12,137.9,172.1448
BARKIPS1,Recip. (Barker Inlet),202303,12.59,42.1052631578947,gas,7.9,7.9,8.51,107.971,107.971
DRYCGT1,OCGT (Dry Creek),202303,12.59,42.1052631578947,gas,10.97,13.69,8.1,146.2123,180.4571
DRYCGT2,OCGT (Dry Creek),202303,12.59,42.1052631578947,gas,10.97,13.69,8.1,146.2123,180.4571
DRYCGT3,OCGT (Dry Creek),202303,12.59,42.1052631578947,gas,10.97,13.69,8.1,146.2123,180.4571
QPS5,OCGT (Quarantine),202303,12.59,42.1052631578947,gas,8,10.71,8.1,108.82,142.9389
TORRB1,Gas-steam (Torrens B),202304,15.18,42.1052631578947,gas,9.94,10.71,2.5,153.3892,165.0778
TORRB2,Gas-steam (Torrens B),202304,15.18,42.1052631578947,gas,9.94,10.71,2.5,153.3892,165.0778
TORRB3,Gas-steam (Torrens B),202304,15.18,42.1052631578947,gas,9.94,10.71,2.5,153.3892,165.0778
TORRB4,Gas-steam (Torrens B),202304,15.18,42.1052631578947,gas,9.94,10.71,2.5,153.3892,165.0778
PPCCGT,CCGT (Pelican Pt),202304,15.18,42.1052631578947,gas,7.35,7.35,4.1,115.673,115.673
OSB-AG,Cogen (Osborne),202304,15.18,42.1052631578947,gas,8.16,8.16,4.1,127.9688,127.9688
MINTARO,OCGT (Mintaro),202304,15.18,42.1052631578947,gas,10,12.72,12,163.8,205.0896
BARKIPS1,Recip. (Barker Inlet),202304,15.18,42.1052631578947,gas,7.9,7.9,8.51,128.432,128.432
DRYCGT1,OCGT (Dry Creek),202304,15.18,42.1052631578947,gas,10.97,13.69,8.1,174.6246,215.9142
DRYCGT2,OCGT (Dry Creek),202304,15.18,42.1052631578947,gas,10.97,13.69,8.1,174.6246,215.9142
DRYCGT3,OCGT (Dry Creek),202304,15.18,42.1052631578947,gas,10.97,13.69,8.1,174.6246,215.9142
QPS5,OCGT (Quarantine),202304,15.18,42.1052631578947,gas,8,10.71,8.1,129.54,170.6778
TORRB1,Gas-steam (Torrens B),202305,15.18,42.1052631578947,gas,9.94,10.71,2.5,153.3892,165.0778
TORRB2,Gas-steam (Torrens B),202305,15.18,42.1052631578947,gas,9.94,10.71,2.5,153.3892,165.0778
TORRB3,Gas-steam (Torrens B),202305,15.18,42.1052631578947,gas,9.94,10.71,2.5,153.3892,165.0778
TORRB4,Gas-steam (Torrens B),202305,15.18,42.1052631578947,gas,9.94,10.71,2.5,153.3892,165.0778
PPCCGT,CCGT (Pelican Pt),202305,15.18,42.1052631578947,gas,7.35,7.35,4.1,115.673,115.673
